shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
RUTA_ESC_VAL,9.30749,-70.63536,400
RUTA_ESC_VAL,9.30773,-70.63503,401
RUTA_ESC_VAL,9.30774,-70.635,402
RUTA_ESC_VAL,9.30779,-70.63483,403
RUTA_ESC_VAL,9.30784,-70.63466,404
RUTA_ESC_VAL,9.30785,-70.63463,405
RUTA_ESC_VAL,9.30781,-70.63454,406
RUTA_ESC_VAL,9.3078,-70.63448,407
RUTA_ESC_VAL,9.30774,-70.63431,408
RUTA_ESC_VAL,9.30772,-70.63424,409
RUTA_ESC_VAL,9.30768,-70.6342,410
RUTA_ESC_VAL,9.30764,-70.63417,411
RUTA_ESC_VAL,9.30751,-70.63405,412
RUTA_ESC_VAL,9.30741,-70.63397,413
RUTA_ESC_VAL,9.30703,-70.63382,414
RUTA_ESC_VAL,9.30686,-70.63373,415
RUTA_ESC_VAL,9.30667,-70.63363,416
RUTA_ESC_VAL,9.30661,-70.63356,417
RUTA_ESC_VAL,9.30658,-70.63352,418
RUTA_ESC_VAL,9.30647,-70.63338,419
RUTA_ESC_VAL,9.3064,-70.63331,420
RUTA_ESC_VAL,9.30635,-70.63324,421
RUTA_ESC_VAL,9.30616,-70.63297,422
RUTA_ESC_VAL,9.30615,-70.63294,423
RUTA_ESC_VAL,9.30614,-70.63294,424
RUTA_ESC_VAL,9.30609,-70.63277,425
RUTA_ESC_VAL,9.30603,-70.63259,426
RUTA_ESC_VAL,9.30608,-70.63242,427
RUTA_ESC_VAL,9.30616,-70.6322,428
RUTA_ESC_VAL,9.30626,-70.63213,429
RUTA_ESC_VAL,9.30641,-70.63203,430
RUTA_ESC_VAL,9.3065,-70.63197,431
RUTA_ESC_VAL,9.30689,-70.63186,432
RUTA_ESC_VAL,9.30728,-70.63171,433
RUTA_ESC_VAL,9.30729,-70.63168,434
RUTA_ESC_VAL,9.3073,-70.63165,435
RUTA_ESC_VAL,9.30732,-70.63163,436
RUTA_ESC_VAL,9.30735,-70.6316,437
RUTA_ESC_VAL,9.30737,-70.63158,438
RUTA_ESC_VAL,9.30739,-70.63155,439
RUTA_ESC_VAL,9.30741,-70.63153,440
RUTA_ESC_VAL,9.30743,-70.6315,441
RUTA_ESC_VAL,9.30745,-70.63147,442
RUTA_ESC_VAL,9.30746,-70.63144,443
RUTA_ESC_VAL,9.30747,-70.63141,444
RUTA_ESC_VAL,9.30748,-70.6314,445
RUTA_ESC_VAL,9.30748,-70.63138,446
RUTA_ESC_VAL,9.30749,-70.63135,447
RUTA_ESC_VAL,9.3075,-70.63132,448
RUTA_ESC_VAL,9.30751,-70.63128,449
RUTA_ESC_VAL,9.30751,-70.63125,450
RUTA_ESC_VAL,9.30751,-70.63122,451
RUTA_ESC_VAL,9.30751,-70.63119,452
RUTA_ESC_VAL,9.30751,-70.63115,453
RUTA_ESC_VAL,9.30751,-70.63112,454
RUTA_ESC_VAL,9.30751,-70.63109,455
RUTA_ESC_VAL,9.3075,-70.63105,456
RUTA_ESC_VAL,9.30749,-70.63102,457
RUTA_ESC_VAL,9.30749,-70.63099,458
RUTA_ESC_VAL,9.30748,-70.63096,459
RUTA_ESC_VAL,9.30747,-70.63093,460
RUTA_ESC_VAL,9.30746,-70.6309,461
RUTA_ESC_VAL,9.30745,-70.63086,462
RUTA_ESC_VAL,9.30744,-70.63083,463
RUTA_ESC_VAL,9.30743,-70.6308,464
RUTA_ESC_VAL,9.30742,-70.63077,465
RUTA_ESC_VAL,9.30741,-70.63074,466
RUTA_ESC_VAL,9.3074,-70.63071,467
RUTA_ESC_VAL,9.3074,-70.63067,468
RUTA_ESC_VAL,9.30739,-70.63064,469
RUTA_ESC_VAL,9.30739,-70.63061,470
RUTA_ESC_VAL,9.30738,-70.63057,471
RUTA_ESC_VAL,9.30739,-70.63054,472
RUTA_ESC_VAL,9.30739,-70.63051,473
RUTA_ESC_VAL,9.3074,-70.63048,474
RUTA_ESC_VAL,9.30741,-70.63045,475
RUTA_ESC_VAL,9.30742,-70.63041,476
RUTA_ESC_VAL,9.30743,-70.63038,477
RUTA_ESC_VAL,9.30744,-70.63036,478
RUTA_ESC_VAL,9.30744,-70.63035,479
RUTA_ESC_VAL,9.30744,-70.63034,480
RUTA_ESC_VAL,9.30745,-70.63032,481
RUTA_ESC_VAL,9.30746,-70.63029,482
RUTA_ESC_VAL,9.30747,-70.63026,483
RUTA_ESC_VAL,9.30749,-70.63023,484
RUTA_ESC_VAL,9.3075,-70.6302,485
RUTA_ESC_VAL,9.30752,-70.63017,486
RUTA_ESC_VAL,9.30754,-70.63014,487
RUTA_ESC_VAL,9.30755,-70.63011,488
RUTA_ESC_VAL,9.30757,-70.63008,489
RUTA_ESC_VAL,9.30759,-70.63006,490
RUTA_ESC_VAL,9.3076,-70.63003,491
RUTA_ESC_VAL,9.30762,-70.63,492
RUTA_ESC_VAL,9.30763,-70.62997,493
RUTA_ESC_VAL,9.30765,-70.62994,494
RUTA_ESC_VAL,9.30766,-70.62991,495
RUTA_ESC_VAL,9.30767,-70.62988,496
RUTA_ESC_VAL,9.30767,-70.62987,497
RUTA_ESC_VAL,9.30768,-70.62985,498
RUTA_ESC_VAL,9.30769,-70.62982,499
RUTA_ESC_VAL,9.30769,-70.62978,500
RUTA_ESC_VAL,9.3077,-70.62975,501
RUTA_ESC_VAL,9.3077,-70.62972,502
RUTA_ESC_VAL,9.30771,-70.62969,503
RUTA_ESC_VAL,9.30772,-70.62965,504
RUTA_ESC_VAL,9.30773,-70.62962,505
RUTA_ESC_VAL,9.30774,-70.62959,506
RUTA_ESC_VAL,9.30776,-70.62956,507
RUTA_ESC_VAL,9.30777,-70.62953,508
RUTA_ESC_VAL,9.30778,-70.62952,509
RUTA_ESC_VAL,9.30779,-70.62951,510
RUTA_ESC_VAL,9.3078,-70.62948,511
RUTA_ESC_VAL,9.30782,-70.62945,512
RUTA_ESC_VAL,9.30784,-70.62942,513
RUTA_ESC_VAL,9.30785,-70.62939,514
RUTA_ESC_VAL,9.30787,-70.62936,515
RUTA_ESC_VAL,9.30788,-70.62933,516
RUTA_ESC_VAL,9.3079,-70.62931,517
RUTA_ESC_VAL,9.30792,-70.62928,518
RUTA_ESC_VAL,9.30794,-70.62925,519
RUTA_ESC_VAL,9.30796,-70.62923,520
RUTA_ESC_VAL,9.30797,-70.62921,521
RUTA_ESC_VAL,9.30798,-70.6292,522
RUTA_ESC_VAL,9.308,-70.62917,523
RUTA_ESC_VAL,9.30802,-70.62915,524
RUTA_ESC_VAL,9.30804,-70.62912,525
RUTA_ESC_VAL,9.30806,-70.62909,526
RUTA_ESC_VAL,9.30808,-70.62907,527
RUTA_ESC_VAL,9.3081,-70.62904,528
RUTA_ESC_VAL,9.30811,-70.62901,529
RUTA_ESC_VAL,9.30814,-70.62899,530
RUTA_ESC_VAL,9.30816,-70.62896,531
RUTA_ESC_VAL,9.30818,-70.62894,532
RUTA_ESC_VAL,9.3082,-70.62891,533
